name,author,rating,new_price,old_price
Гениальность и помешательство,Чезаре Ломброзо,8.9,229.0,309.0
"Клуб «5 часов утра». Секрет личной эффективности от монаха, который продал свой ""феррари""",Робин Шарма,9.3,756.0,919.0
Мозг. Ваша личная история,Иглмен Д.,,331.0,409.0
"Свобода от тревоги. Справься с тревогой, пока она не расправилась с тобой",Лихи Р.,8.9,798.0,919.0
"Психология лжи. Обмани меня, если сможешь (покет)",Экман П.,8.7,517.0,599.0
Тренируй свою память. Японская система сохранения здоровья мозга,Рюта Кавашима,8.6,301.0,519.0
Психология влияния. 5-е изд.,Роберт Чалдини,,596.0,2199.0
Манипулирование и защита от манипуляций,Шейнов В.,7.8,517.0,599.0
Начни с главного! 1 удивительно простой закон феноменального успеха,"Келлер Гэри,",,494.0,599.0
Биохакинг: Руководство по раскрытию потенциала организма,"Совиярви О., Арина Т., Халметоя Й.",9.1,1790.0,2148.0
"Все, что ты только сможешь узнать",Николь Чжен,,114.0,599.0
"Любить то, что есть: четыре вопроса, которые изменят вашу жизнь",Кейти Байрон,8.4,625.0,759.0
Теории личности. 3-е изд.,"Хьелл Л.,",,1077.0,2089.0
"Итак, вас публично опозорили. Как незнакомцы из социальных сетей превращаются в палачей",,,141.0,749.0
Искусство заботы о душе. 100 инсайтов дзен-буддийского монаха о жизни без стресса,Шунмио Масуно,,713.0,869.0
"Опыт дурака 1, или Ключ к прозрению",Мирзакарим Норбеков,,314.0,379.0
Палач любви и другие психотерапевтические истории,Ирвин Ялом,8.8,450.0,549.0
"Хочу и буду. 6 правил счастливой жизни, или Метод Лабковского в действии",Михаил Лабковский,8.5,849.0,1019.0
Тезаурус эмоций: Руководство для писателей и сценаристов,"Пульизи Б., Акерман А.",9.7,1190.0,1428.0
"Хрупкие люди. Почему нарциссизм - это не порок, а особенность, с которой можно научиться жить (новое оформление)",Юлия Пирумова,,800.0,969.0
"Психотрюки. 69 приемов в общении, которым не учат в школе",Игорь Рызов,8.8,904.0,1085.0
Шум. Несовершенство человеческих суждений,Даниэль Канеман,8.9,1044.0,1249.0
Фокусы языка. Изменение убеждений с помощью НЛП,Дилтс Р.,,517.0,599.0
Шопенгауэр как лекарство. Психотерапевтические истории,Ирвин Ялом,9.7,425.0,510.0
Работа с телом. Доступ к бессознательному через прикосновение,"Розен М., Бреннер С.",,414.0,519.0
"Пять языков любви. Актуально для всех, а не только для супружеских пар",Гэри Чепмен,9.5,617.0,919.0
Поток. Психология оптимального переживания,Чиксентмихайи М.,,888.0,1149.0
"Осознанные отношения. 25 привычек для пар, которые помогут обрести настоящую близость","Стив Джей Скотт,",,625.0,759.0
Сила воли. Как развить и укрепить. NEON Pocketbooks,Келли Макгонигал,,371.0,499.0
Магия утра. Как первый час дня определяет ваш успех. NEON Pocketbooks,Хэл Элрод,,371.0,499.0
Обними меня крепче. 7 диалогов для любви на всю жизнь. NEON Pocketbooks,Сью Джонсон,9.8,371.0,499.0
"Психология денег: Вечные уроки богатства, жадности и счастья",Хаузел М.,,977.0,1395.0
Доминанта,Алексей Ухтомский,,219.0,299.0
Быть жертвой больше не выгодно. Дополненное издание,Вероника Хлебова,,644.0,779.0
Большая Панда и Маленький Дракон: медитативная история,Джеймс Норбури,9.0,1058.0,1359.0
"Мы справимся. Как победить тревогу, преодолеть кризис и обрести спокойствие",Элина Фролова,,141.0,699.0
"Прощай, тревога. Как научиться жить с тревожным расстройством",Хио Сарарри,,669.0,809.0
Как разговаривать с мудаками. Что делать с неадекватными и невыносимыми людьми. NEON Pocketbooks,Марк Гоулстон,,391.0,519.0
Укроти свои мысли. Карманная книга по работе с деструктивным мышлением,Бона Леа Шваб,,219.0,299.0
Кругом одни идиоты. 4 типа личности: как найти подход к каждому из них,Томас Эриксон,9.3,314.0,379.0
"Милый только для других. Как перестать оправдывать тех, кто вас обесценивает, и защитить себя от эмоционального шантажа",Дебби Мирза,,538.0,659.0
"Измени жизнь, оставаясь собой: Личный ребрендинг","Мужицкая Т., Белашева И.",,390.0,468.0
Магия общения: Практика успешной коммуникации,Нина Зверева,,390.0,468.0
Иметь или быть?,Эрих Фромм,,174.0,209.0
Манипулятор в овечьей шкуре. Как не стать жертвой его уловок,Джордж К. Саймон,,250.0,329.0
"Ремонт крыш и крыльев. Психологический стендап о том, как починить себя",Светлана Патрушева,,775.0,939.0
В самый темный час. Как рождается жестокость?,Ханна Арендт,,906.0,1099.0
Семья что надо. Как жить счастливо с самыми близкими. Книга о любви,Нина Зверева,,740.0,888.0
"Токсичные слова. Как защититься от слов, которые ранят, и отстоять себя без чувства вины",Оксим Ким,,512.0,679.0
Ныть или жить: еженедельник,Альберт Сафин,,688.0,829.0
"Иди туда, где трудно. 7 шагов для обретения внутренней силы",Таэ Юн Ким,,339.0,409.0
"Страдаю, но остаюсь. Книга о том, как победить созависимость и вернуться к себе",Полина Гавердовская,,756.0,919.0
Глаз разума,Оливер Сакс,,323.0,389.0
"Сны из детства. Шелковая книга о счастье-бабочке, теплом доме и волшебном мостике, ведущем к гармонии",Юлия Прозорова,,644.0,779.0
О бессмысленности воспитания подростков,Дима Зицер,,517.0,599.0
Психотерапия для депрессивных жаб,Роберт де Борд,,688.0,829.0
"Почему с тобой так трудно. Как любить людей с неврозами, депрессией и биполярным расстройством","Джули Фаст,",,305.0,369.0
"Женщина, у которой есть план. Правила счастливой жизни (покет)",Мэй Маск,,494.0,599.0
"Открой рот: проявляйся, говори и получи то, что хочешь",Козырева О.В.,,617.0,869.0
Продажи в переписке. Как убеждать клиентов в мессенджерах и соцсетях,Виталий Говорухин,,819.0,989.0
"Приключения маленького Мишки Карабабаду. Сказки для всей семьи о любви и дружбе, сладких снах, больших деревьях и полянах полных ягод",Лиза Мока,,906.0,1099.0
"В этом году я... Как изменить привычки, сдержать обещания или сделать то, о чем вы давно мечтали",М. Дж. Райан,,834.0,1099.0
БУДЬ лучшей версией себя. Как обычные люди становятся выдающимися,Дэн Вальдшмидт,9.2,1507.0,1879.0
Замок из стекла. Что скрывает прошлое,Джаннетт Уоллс,9.3,669.0,809.0
Интуитивное питание: как перестать беспокоиться о еде и похудеть,Светлана Бронникова,9.1,869.0,1039.0
Куриный бульон для души: 101 лучшая история,"Марк Хансен,",9.0,450.0,549.0
Магия утра. Как первый час дня определяет ваш успех,Хэл Элрод,8.6,835.0,1002.0
Мудрость женщины,Луиза Хей,8.6,317.0,380.0
Новый язык телодвижений,"Аллан Пиз,",7.7,469.0,563.0
Большая книга про вас и вашего ребенка,Людмила Петрановская,9.5,731.0,889.0
Я и Оно,Зигмунд Фрейд,9.0,174.0,249.0
Психоанализ детских страхов,Фрейд З.,,224.0,269.0
Алмазный Огранщик: система управления бизнесом и жизнью,Майкл Роуч,,688.0,829.0
Внутренняя инженерия. Путь радости. Практическое руководство от йога,Садхгуру,8.0,1044.0,1249.0
Материнская любовь,Анатолий Некрасов,8.6,278.0,339.0
Очень простое открытие. Как превращать возможности в проблемы,Владимир Гуриев,,126.0,189.0
Поколение селфи. Кто такие миллениалы и как найти с ними общий язык,Джин М. Твендж,,123.0,699.0
Стратегия мышления богатых и бедных людей,Саидмурод Давлатов,8.3,644.0,779.0
Я манипулирую тобой: Методы противодействия скрытому влиянию (обложка),Непряхин Никита,9.6,990.0,1188.0
НИ СЫ. Будь уверен в своих силах и не позволяй сомнениям мешать тебе двигаться вперед,Джен Синсеро,8.6,494.0,599.0
Ответ. Проверенная методика достижения недостижимого,"Аллан Пиз,",9.2,469.0,569.0
Измени свой мозг - изменится и тело!,Амен Дэниэл,,819.0,989.0
