name,author,rating,new_price,old_price
Полезные машины,Дмитриева Валентина Геннадьевна,,399.0,499.0
Конек-горбунок,Ершов Петр Павлович,9.3,711.0,889.0
Спайдервик. Хроники,"ДиТерлицци Тони , Блэк Холли",9.5,868.0,1085.0
Моя книга наклеек. Авто-тюнинг,,,455.0,599.0
Коты-детективы. Парижские тайны,"Гатти Алессандро , Морозинотто Давиде",,647.0,809.0
Я получил сову! Фанбук по волшебному миру Гарри Поттера,,9.1,795.0,994.0
Знаменитая собачка Соня,Усачёв Андрей Алексеевич,9.3,455.0,569.0
Вафельное сердце,Парр Мария,9.3,980.0,1409.0
Секретный дневник кота-детектива,Шойнеманн Фрауке,9.3,455.0,569.0
Тихие гости,Мастрюкова Татьяна,9.0,607.0,759.0
История Санкт-Петербурга для подростков. Самые яркие исторические зарисовки про великий город,Антонов Борис Иванович,,375.0,469.0
Перси Джексон и похититель молний,Риордан Рик,9.3,543.0,679.0
Стихи и сказки,"Чуковский, Корней Иванович",9.6,831.0,1039.0
"Этикет для юного джентльмена. 50 правил, которые должен знать каждый юноша",Бриджес Джон,,495.0,619.0
Книжки - картонки. Мои первые цвета,Митченко Ю.,,217.0,279.0
Доброе утро!,Пикулева Нина Васильевна,,607.0,759.0
Дом с характером (МирыДД) Джонс,Джонс Диана Уинн,9.7,567.0,709.0
Денискины рассказы,Драгунский Виктор Юзефович,9.8,711.0,889.0
Семь подземных королей,Волков Александр Мелентьевич,9.8,735.0,919.0
3+ 100 окошек - открывай-ка!,Саломатина Елена Ивановна,9.6,1524.0,1905.0
Драконья сага. Потерянная принцесса,Сазерленд Туи Т.,10.0,543.0,679.0
Большая книга тайн для мальчиков,"Мерников Андрей Геннадьевич, Пирожник Светлана Сергеевна",,1127.0,1409.0
Журнал по выживанию,Коутон Скотт,9.2,630.0,788.0
Малефисента. История темной феи,Валентино Серена,8.9,527.0,659.0
Sonic. Заражение. Том 4 (перевод Анны Толубаевой и Сыендука),Флинн Йэн,9.5,647.0,809.0
Путешествия Гулливера,Свифт Джонатан,,231.0,289.0
Прописи-тетрадь для детей. Шаг 1. Учимся писать буквы,Назаренко Марина,,119.0,149.0
